layer,x,z,block_type
-47,1,1,wood_planks
-47,2,1,wood_planks
-47,3,1,wood_planks
-47,1,2,stone
-47,2,2,stone
-47,3,2,wood_planks
-47,1,3,stone
-47,2,3,stone
-47,3,3,wood_planks
-46,1,1,wood_planks
-46,2,1,wood_planks
-46,3,1,wood_planks
-46,1,2,stone
-46,2,2,stone
-46,3,2,wood_planks
-46,1,3,stone
-46,2,3,stone
-46,3,3,wood_planks
-45,1,1,wood_planks
-45,2,1,wood_planks
-45,3,1,wood_planks
-45,1,2,stone
-45,2,2,stone
-45,3,2,wood_planks
-45,1,3,stone
-45,2,3,stone
-45,3,3,wood_planks
-44,1,1,wood_planks
-44,2,1,wood_planks
-44,3,1,wood_planks
-44,1,2,stone
-44,2,2,stone
-44,3,2,wood_planks
-44,1,3,stone
-44,2,3,stone
-44,3,3,wood_planks
-43,1,1,wood_planks
-43,2,1,wood_planks
-43,3,1,wood_planks
-43,1,2,stone
-43,2,2,stone
-43,3,2,wood_planks
-43,1,3,stone
-43,2,3,stone
-43,3,3,wood_planks
-42,1,1,wood_planks
-42,2,1,wood_planks
-42,3,1,wood_planks
-42,1,2,stone
-42,2,2,stone
-42,3,2,wood_planks
-42,1,3,stone
-42,2,3,stone
-42,3,3,wood_planks
-41,1,1,wood_planks
-41,2,1,wood_planks
-41,3,1,wood_planks
-41,1,2,stone
-41,2,2,stone
-41,3,2,wood_planks
-41,1,3,stone
-41,2,3,stone
-41,3,3,wood_planks
-40,1,1,wood_planks
-40,2,1,wood_planks
-40,3,1,wood_planks
-40,1,2,stone
-40,2,2,stone
-40,3,2,wood_planks
-40,1,3,stone
-40,2,3,stone
-40,3,3,wood_planks
-39,1,1,wood_planks
-39,2,1,wood_planks
-39,3,1,wood_planks
-39,1,2,stone
-39,2,2,stone
-39,3,2,wood_planks
-39,1,3,stone
-39,2,3,stone
-39,3,3,wood_planks
-38,1,1,wood_planks
-38,2,1,wood_planks
-38,3,1,wood_planks
-38,1,2,stone
-38,2,2,stone
-38,3,2,wood_planks
-38,1,3,stone
-38,2,3,stone
-38,3,3,wood_planks
-37,1,1,wood_planks
-37,2,1,wood_planks
-37,3,1,wood_planks
-37,1,2,stone
-37,2,2,stone
-37,3,2,wood_planks
-37,1,3,stone
-37,2,3,stone
-37,3,3,wood_planks
-36,1,1,wood_planks
-36,2,1,wood_planks
-36,3,1,wood_planks
-36,1,2,stone
-36,2,2,stone
-36,3,2,wood_planks
-36,1,3,stone
-36,2,3,stone
-36,3,3,wood_planks
-35,1,1,wood_planks
-35,2,1,wood_planks
-35,3,1,wood_planks
-35,1,2,stone
-35,2,2,stone
-35,3,2,wood_planks
-35,1,3,stone
-35,2,3,stone
-35,3,3,wood_planks
-34,1,1,wood_planks
-34,2,1,wood_planks
-34,3,1,wood_planks
-34,1,2,stone
-34,2,2,stone
-34,3,2,wood_planks
-34,1,3,stone
-34,2,3,stone
-34,3,3,wood_planks
-33,1,1,wood_planks
-33,2,1,wood_planks
-33,3,1,wood_planks
-33,1,2,stone
-33,2,2,stone
-33,3,2,wood_planks
-33,1,3,stone
-33,2,3,stone
-33,3,3,wood_planks
-32,1,1,wood_planks
-32,2,1,wood_planks
-32,3,1,wood_planks
-32,1,2,stone
-32,2,2,stone
-32,3,2,wood_planks
-32,1,3,stone
-32,2,3,stone
-32,3,3,wood_planks
-31,1,1,wood_planks
-31,2,1,wood_planks
-31,3,1,wood_planks
-31,1,2,stone
-31,2,2,stone
