layer,x,z,block_type
0,2,2,glass
0,3,2,glass
0,4,2,glass
0,5,2,glass
0,6,2,glass
0,2,3,glass
0,3,3,glass
0,4,3,glass
0,5,3,glass
0,6,3,glass
0,2,4,glass
0,3,4,glass
0,4,4,glass
0,5,4,glass
0,6,4,glass
0,2,5,glass
0,3,5,glass
0,4,5,glass
0,5,5,glass
0,6,5,glass
0,2,6,glass
0,3,6,glass
0,4,6,glass
0,5,6,glass
0,6,6,glass
0,2,7,glass
0,3,7,glass
0,4,7,glass
0,5,7,glass
0,6,7,glass
0,2,8,glass
0,3,8,glass
0,4,8,glass
0,5,8,glass
0,6,8,glass
0,2,9,glass
0,3,9,glass
0,4,9,glass
0,5,9,glass
0,6,9,glass
0,2,10,glass
0,3,10,glass
0,4,10,glass
0,5,10,glass
0,6,10,glass
0,2,11,glass
0,3,11,glass
0,4,11,glass
0,5,11,glass
0,6,11,glass
0,2,12,glass
0,3,12,glass
0,4,12,glass
0,5,12,glass
0,6,12,glass
0,2,13,glass
0,3,13,glass
0,4,13,glass
0,5,13,glass
0,6,13,glass
1,2,2,glass
1,3,2,glass
1,4,2,gold_block
1,5,2,glass
1,6,2,glass
1,2,3,glass
1,3,3,glass
1,4,3,gold_block
1,5,3,gold_block
1,6,3,glass
1,2,4,glass
1,3,4,glass
1,4,4,glass
1,5,4,gold_block
1,6,4,glass
1,2,5,glass
1,3,5,glass
1,4,5,glass
1,5,5,glass
1,6,5,glass
1,2,6,glass
1,3,6,glass
1,4,6,glass
1,5,6,glass
1,6,6,glass
1,2,7,glass
1,3,7,gold_block
1,4,7,gold_block
1,5,7,glass
1,6,7,glass
1,2,8,glass
1,3,8,glass
1,4,8,gold_block
1,5,8,gold_block
1,6,8,glass
1,2,9,glass
1,3,9,glass
1,4,9,glass
1,5,9,glass
1,6,9,glass
1,2,10,glass
1,3,10,glass
1,4,10,glass
1,5,10,glass
1,6,10,glass
1,2,11,glass
1,3,11,gold_block
1,4,11,glass
1,5,11,glass
1,6,11,glass
1,2,12,glass
1,3,12,gold_block
1,4,12,gold_block
1,5,12,gold_block
1,6,12,glass
1,2,13,glass
1,3,13,glass
1,4,13,glass
1,5,13,glass
1,6,13,glass
2,2,2,glass
2,3,2,glass
2,4,2,glass
2,5,2,glass
2,6,2,glass
2,2,3,glass
2,3,3,glass
2,4,3,glass
2,5,3,glass
2,6,3,glass
2,2,4,glass
2,3,4,glass
2,4,4,glass
2,5,4,gold_block
2,6,4,glass
2,2,5,glass
2,3,5,gold_block
2,4,5,gold_block
2,5,5,gold_block
2,6,5,glass
2,2,6,glass
2,4,6,glass
2,5,6,glass
2,6,6,glass
2,2,7,glass
2,3,7,gold_block
2,4,7,glass
2,5,7,glass
2,6,7,glass
2,2,8,glass
2,3,8,glass
2,4,8,glass
2,5,8,gold_block
2,6,8,glass
2,2,9,glass
2,3,9,glass
2,4,9,glass
2,5,9,glass
2,6,9,glass
2,2,10,glass
2,3,10,gold_block
2,4,10,glass
2,5,10,glass
2,6,10,glass
2,2,11,glass
2,3,11,gold_block
2,4,11,glass
2,5,11,glass
2,6,11,glass
2,2,12,glass
2,3,12,glass
2,4,12,glass
2,5,12,gold_block
2,6,12,glass
2,2,13,glass
2,3,13,glass
2,4,13,glass
2,5,13,glass
2,6,13,glass
3,2,2,glass
3,3,2,glass
3,4,2,glass
3,5,2,glass
3,6,2,glass
3,2,3,glass
3,3,3,glass
3,4,3,glass
3,5,3,glass
3,6,3,glass
3,2,4,glass
3,3,4,glass
3,4,4,glass
3,5,4,glass
3,6,4,glass
3,2,5,glass
3,3,5,gold_block
3,4,5,glass
3,5,5,glass
3,6,5,glass
3,2,6,glass
3,3,6,gold_block
3,4,6,glass
3,5,6,glass
3,6,6,glass
3,2,7,glass
3,3,7,gold_block
3,4,7,glass
3,5,7,glass
3,6,7,glass
3,2,8,glass
3,3,8,glass
3,4,8,glass
3,5,8,gold_block
3,6,8,glass
3,2,9,glass
3,3,9,glass
3,4,9,glass
3,5,9,gold_block
3,6,9,glass
3,2,10,glass
3,3,10,glass
3,4,10,glass
3,5,10,gold_block
3,6,10,glass
3,2,11,glass
3,3,11,glass
3,4,11,glass
3,5,11,gold_block
3,6,11,glass
3,2,12,glass
3,3,12,glass
3,4,12,glass
3,5,12,gold_block
3,6,12,glass
3,2,13,glass
3,3,13,glass
3,4,13,glass
3,5,13,glass
3,6,13,glass
4,2,2,glass
4,3,2,glass
4,4,2,glass
4,5,2,glass
4,6,2,glass
4,2,3,glass
4,3,3,glass
4,4,3,glass
4,5,3,glass
4,6,3,glass
4,2,4,glass
4,3,4,glass
4,4,4,glass
4,5,4,glass
4,6,4,glass
4,2,5,glass
4,3,5,glass
4,4,5,glass
4,5,5,glass
4,6,5,glass
4,2,6,glass
4,3,6,glass
4,4,6,glass
4,5,6,glass
4,6,6,glass
4,2,7,glass
4,3,7,glass
4,4,7,glass
4,5,7,glass
4,6,7,glass
4,2,8,glass
4,3,8,glass
4,4,8,glass
4,5,8,glass
4,6,8,glass
4,2,9,glass
4,3,9,glass
4,4,9,glass
4,5,9,glass
4,6,9,glass
4,2,10,glass
4,3,10,glass
4,4,10,glass
4,5,10,glass
4,6,10,glass
4,2,11,glass
4,3,11,glass
4,4,11,glass
4,5,11,glass
4,6,11,glass
4,2,12,glass
4,3,12,glass
4,4,12,glass
4,5,12,glass
4,6,12,glass
4,2,13,glass
4,3,13,glass
4,4,13,glass
4,5,13,glass
4,6,13,glass
