layer,x,z,block_type
-46,2,4,obsidian
-46,3,4,snow_block
-46,4,4,snow_block
-46,5,4,snow_block
-46,6,4,snow_block
-45,2,4,obsidian
-45,3,4,snow_block
-45,4,4,snow_block
-45,5,4,snow_block
-45,6,4,snow_block
-44,2,4,obsidian
-44,3,4,snow_block
-44,4,4,snow_block
-44,5,4,snow_block
-44,6,4,snow_block
-43,2,4,obsidian
-43,3,4,snow_block
-43,4,4,snow_block
-43,5,4,snow_block
-43,6,4,snow_block
-42,2,4,obsidian
-42,3,4,snow_block
-42,4,4,snow_block
-42,5,4,snow_block
-42,6,4,snow_block
-41,2,4,obsidian
-41,3,4,snow_block
-41,4,4,snow_block
-41,5,4,snow_block
-41,6,4,snow_block
-40,2,4,obsidian
-40,3,4,snow_block
-40,4,4,snow_block
-40,5,4,snow_block
-40,6,4,snow_block
-39,2,4,obsidian
-39,3,4,snow_block
-39,4,4,snow_block
-39,5,4,snow_block
-39,6,4,snow_block
-38,2,4,obsidian
-38,3,4,snow_block
-38,4,4,snow_block
-38,5,4,snow_block
-38,6,4,snow_block
-37,2,4,obsidian
-37,3,4,snow_block
-37,4,4,snow_block
-37,5,4,snow_block
-37,6,4,snow_block
-36,2,4,obsidian
-36,3,4,snow_block
-36,4,4,snow_block
-36,5,4,snow_block
-36,6,4,snow_block
-35,2,4,obsidian
-35,3,4,snow_block
-35,4,4,snow_block
-35,5,4,snow_block
-35,6,4,snow_block
-34,2,4,obsidian
-34,3,4,snow_block
-34,4,4,snow_block
-34,5,4,snow_block
-34,6,4,snow_block
-33,2,4,obsidian
-33,3,4,snow_block
-33,4,4,snow_block
-33,5,4,snow_block
-33,6,4,snow_block
-32,2,4,obsidian
-32,3,4,snow_block
-32,4,4,snow_block
-32,5,4,snow_block
-32,6,4,snow_block
-31,2,4,obsidian
-31,3,4,snow_block
-31,4,4,snow_block
-31,5,4,snow_block
-31,6,4,snow_block
-30,2,4,obsidian
-30,3,4,snow_block
-30,4,4,snow_block
-30,5,4,snow_block
-30,6,4,snow_block
-29,2,4,obsidian
-29,3,4,snow_block
-29,4,4,snow_block
