layer,x,z,block_type
0,2,2,stone
0,3,2,stone
0,4,2,stone
0,5,2,stone
0,6,2,stone
0,2,3,stone
0,3,3,stone
0,4,3,stone
0,5,3,stone
0,6,3,stone
0,2,4,stone
0,3,4,stone
0,4,4,stone
0,5,4,stone
0,6,4,stone
0,2,5,stone
0,3,5,stone
0,4,5,stone
0,5,5,stone
0,6,5,stone
0,2,6,stone
0,3,6,stone
0,4,6,stone
0,5,6,stone
0,6,6,stone
1,2,2,stone
1,3,2,stone
1,4,2,stone
1,5,2,stone
1,6,2,stone
1,2,3,stone
1,3,3,stone
1,4,3,stone
1,5,3,stone
1,6,3,stone
1,2,4,stone
1,3,4,stone
1,4,4,stone
1,5,4,stone
1,6,4,stone
1,2,5,stone
1,3,5,stone
1,4,5,wood_planks
1,5,5,stone
1,6,5,stone
1,2,6,stone
1,3,6,stone
1,5,6,stone
1,6,6,stone
2,0,0,stone
2,1,0,stone
2,2,0,stone
2,3,0,stone
2,4,0,stone
2,5,0,stone
2,6,0,stone
2,7,0,stone
2,8,0,stone
2,0,1,stone
2,1,1,wood_planks
2,2,1,wood_planks
2,3,1,wood_planks
2,4,1,wood_planks
2,5,1,wood_planks
2,6,1,wood_planks
2,7,1,wood_planks
2,8,1,stone
2,0,2,stone
2,1,2,wood_planks
2,2,2,wood_planks
2,3,2,wood_planks
2,4,2,wood_planks
2,5,2,wood_planks
2,6,2,wood_planks
2,7,2,wood_planks
2,8,2,stone
2,0,3,stone
2,1,3,wood_planks
2,2,3,wood_planks
2,3,3,wood_planks
2,4,3,wood_planks
2,5,3,wood_planks
2,6,3,wood_planks
2,7,3,wood_planks
2,8,3,stone
2,0,4,stone
2,1,4,wood_planks
2,2,4,wood_planks
2,3,4,wood_planks
2,4,4,wood_planks
2,5,4,wood_planks
2,6,4,wood_planks
2,7,4,wood_planks
2,8,4,stone
2,0,5,stone
2,1,5,wood_planks
2,2,5,wood_planks
2,3,5,wood_planks
2,5,5,wood_planks
2,6,5,wood_planks
2,7,5,wood_planks
2,8,5,stone
2,0,6,stone
2,1,6,stone
2,2,6,stone
2,3,6,stone
2,5,6,stone
2,6,6,stone
2,7,6,stone
2,8,6,stone
3,0,0,stone
3,1,0,wood_planks
3,2,0,wood_planks
3,3,0,wood_planks
3,4,0,stone
3,5,0,wood_planks
3,6,0,wood_planks
3,7,0,wood_planks
3,8,0,stone
3,0,1,wood_planks
3,8,1,wood_planks
3,0,2,wood_planks
3,8,2,wood_planks
3,0,3,wood_planks
3,6,3,wood_planks
3,7,3,wood_planks
3,8,3,wood_planks
3,0,4,wood_planks
3,6,4,wood_planks
3,7,4,wood_planks
3,8,4,wood_planks
3,0,5,wood_planks
3,8,5,wood_planks
3,0,6,stone
3,1,6,wood_planks
3,2,6,wood_planks
3,3,6,stone
3,5,6,stone
3,6,6,wood_planks
3,7,6,wood_planks
3,8,6,stone
4,0,0,stone
4,4,0,stone
4,8,0,stone
4,8,1,stone
4,6,2,wood_planks
4,7,2,wood_planks
4,8,2,stone
4,6,3,wood_planks
4,7,3,wood_planks
4,8,3,stone
4,6,4,wood_planks
4,8,4,stone
4,8,5,stone
4,0,6,stone
4,3,6,stone
4,5,6,stone
4,8,6,stone
5,0,0,stone
5,1,0,wood_planks
5,2,0,wood_planks
5,3,0,wood_planks
5,4,0,stone
5,5,0,wood_planks
5,6,0,wood_planks
5,7,0,wood_planks
5,8,0,stone
5,0,1,wood_planks
5,6,1,wood_planks
5,7,1,wood_planks
5,8,1,wood_planks
5,0,2,wood_planks
5,6,2,wood_planks
5,7,2,wood_planks
5,8,2,wood_planks
5,0,3,wood_planks
5,6,3,wood_planks
5,8,3,wood_planks
5,0,4,wood_planks
5,6,4,wood_planks
5,8,4,wood_planks
5,0,5,wood_planks
5,8,5,wood_planks
5,0,6,stone
5,1,6,wood_planks
5,2,6,wood_planks
5,3,6,stone
5,4,6,stone
5,5,6,stone
5,6,6,wood_planks
5,7,6,wood_planks
5,8,6,stone
6,0,0,stone
6,1,0,stone
6,2,0,stone
6,3,0,stone
6,4,0,stone
6,5,0,stone
6,6,0,stone
6,7,0,stone
6,8,0,stone
6,0,1,stone
6,1,1,wood_planks
6,2,1,wood_planks
6,3,1,wood_planks
6,4,1,wood_planks
6,5,1,wood_planks
6,6,1,wood_planks
6,7,1,wood_planks
6,8,1,stone
6,0,2,stone
6,1,2,wood_planks
6,2,2,wood_planks
6,3,2,wood_planks
6,4,2,wood_planks
6,5,2,wood_planks
6,6,2,wood_planks
6,8,2,stone
6,0,3,stone
6,1,3,wood_planks
6,2,3,wood_planks
6,3,3,wood_planks
6,4,3,wood_planks
6,5,3,wood_planks
6,6,3,wood_planks
6,8,3,stone
6,0,4,stone
6,1,4,wood_planks
6,2,4,wood_planks
6,3,4,wood_planks
6,4,4,wood_planks
6,5,4,wood_planks
6,6,4,wood_planks
6,8,4,stone
6,0,5,stone
6,1,5,wood_planks
6,2,5,wood_planks
6,3,5,wood_planks
6,4,5,wood_planks
6,5,5,wood_planks
6,6,5,wood_planks
6,8,5,stone
6,0,6,stone
6,1,6,stone
6,2,6,stone
6,3,6,stone
6,4,6,stone
6,5,6,stone
6,6,6,stone
6,7,6,stone
6,8,6,stone
7,0,0,stone
7,1,0,stone
7,2,0,stone
7,3,0,stone
7,4,0,stone
7,5,0,stone
7,6,0,stone
7,7,0,stone
7,8,0,stone
7,0,1,stone
7,8,1,stone
7,0,2,stone
7,6,2,stone
