layer,x,z,block_type
0,0,0,gold_block
0,1,0,gold_block
0,2,0,gold_block
0,3,0,gold_block
0,0,1,gold_block
0,3,1,gold_block
0,0,2,gold_block
0,2,2,gold_block
0,3,2,gold_block
0,0,3,gold_block
0,1,3,gold_block
0,2,3,gold_block
0,3,3,gold_block
1,2,0,gold_block
1,1,1,gold_block
1,2,1,gold_block
1,1,2,gold_block
2,2,1,gold_block
2,1,2,gold_block
3,1,1,gold_block
3,2,1,gold_block
3,1,2,gold_block
3,2,2,gold_block
4,1,1,gold_block
4,2,1,gold_block
4,1,2,gold_block
4,2,2,gold_block
5,0,0,gold_block
5,3,0,gold_block
5,1,1,gold_block
5,2,1,gold_block
5,1,2,gold_block
5,2,2,gold_block
7,1,1,gold_block
7,2,1,gold_block
7,1,2,gold_block
7,2,2,gold_block
8,1,2,gold_block
8,2,2,gold_block
