layer,x,z,block_type
5,5,6,snow_block
5,6,6,snow_block
5,7,6,snow_block
5,8,6,snow_block
5,9,6,snow_block
5,5,7,snow_block
5,9,7,snow_block
5,5,8,snow_block
5,9,8,snow_block
5,5,9,snow_block
5,9,9,snow_block
5,5,10,snow_block
5,6,10,snow_block
5,7,10,snow_block
5,8,10,snow_block
5,9,10,snow_block
6,5,6,snow_block
6,6,6,snow_block
6,7,6,snow_block
6,8,6,snow_block
6,9,6,snow_block
6,5,7,snow_block
6,9,7,snow_block
6,5,8,obsidian
6,9,8,snow_block
6,5,9,snow_block
6,9,9,snow_block
6,5,10,snow_block
6,6,10,snow_block
6,7,10,snow_block
6,8,10,snow_block
6,9,10,snow_block
7,5,6,snow_block
7,6,6,snow_block
7,7,6,snow_block
7,8,6,snow_block
7,9,6,snow_block
7,5,7,snow_block
7,9,7,snow_block
7,5,8,snow_block
7,9,8,snow_block
7,5,9,snow_block
7,9,9,snow_block
7,5,10,snow_block
7,6,10,snow_block
7,7,10,snow_block
7,8,10,snow_block
7,9,10,snow_block
8,5,6,snow_block
8,6,6,snow_block
8,7,6,snow_block
8,8,6,snow_block
8,9,6,snow_block
8,5,7,snow_block
8,9,7,snow_block
8,5,8,obsidian
8,9,8,snow_block
8,5,9,snow_block
8,9,9,snow_block
8,5,10,snow_block
8,6,10,snow_block
8,7,10,snow_block
8,8,10,snow_block
8,9,10,snow_block
9,7,5,obsidian
9,5,6,snow_block
9,6,6,snow_block
9,7,6,snow_block
9,8,6,snow_block
9,9,6,snow_block
9,5,7,snow_block
9,9,7,snow_block
9,5,8,snow_block
9,9,8,snow_block
9,5,9,snow_block
9,9,9,snow_block
9,5,10,snow_block
9,6,10,snow_block
9,7,10,snow_block
9,8,10,snow_block
9,9,10,snow_block
9,7,11,obsidian
10,7,4,obsidian
10,5,6,snow_block
10,6,6,snow_block
10,7,6,snow_block
10,8,6,snow_block
10,9,6,snow_block
10,5,7,snow_block
10,9,7,snow_block
10,5,8,obsidian
10,9,8,snow_block
10,5,9,snow_block
10,9,9,snow_block
10,5,10,snow_block
10,6,10,snow_block
10,7,10,snow_block
10,8,10,snow_block
10,9,10,snow_block
10,7,12,obsidian
11,7,3,obsidian
11,5,6,snow_block
11,6,6,snow_block
11,7,6,snow_block
11,8,6,snow_block
11,9,6,snow_block
11,5,7,snow_block
11,6,7,snow_block
11,7,7,snow_block
11,8,7,snow_block
11,9,7,snow_block
11,5,8,snow_block
11,6,8,snow_block
11,7,8,snow_block
11,8,8,snow_block
11,9,8,snow_block
11,5,9,snow_block
11,6,9,snow_block
11,7,9,snow_block
11,8,9,snow_block
11,9,9,snow_block
11,5,10,snow_block
11,6,10,snow_block
11,7,10,snow_block
11,8,10,snow_block
11,9,10,snow_block
11,7,13,obsidian
13,6,7,snow_block
13,7,7,snow_block
13,8,7,snow_block
13,5,8,gold_block
13,6,8,snow_block
13,7,8,snow_block
13,8,8,snow_block
13,6,9,snow_block
13,7,9,snow_block
13,8,9,snow_block
14,6,7,obsidian
14,7,7,snow_block
14,8,7,snow_block
14,6,8,snow_block
14,8,8,snow_block
14,6,9,obsidian
14,7,9,snow_block
14,8,9,snow_block
