layer,x,z,block_type
0,0,0,stone
0,1,0,stone
0,2,0,stone
0,3,0,stone
0,0,1,stone
0,3,1,stone
0,0,2,stone
0,3,2,stone
0,0,3,stone
0,1,3,stone
0,2,3,stone
0,3,3,stone
1,0,0,wood_planks
1,3,0,wood_planks
1,0,3,wood_planks
1,3,3,wood_planks
2,0,0,wood_planks
2,3,0,wood_planks
2,0,3,wood_planks
2,3,3,wood_planks
3,0,0,wood_planks
3,1,0,wood_planks
3,2,0,wood_planks
3,3,0,wood_planks
3,0,1,wood_planks
3,1,1,wood_planks
3,2,1,wood_planks
3,3,1,wood_planks
3,0,2,wood_planks
3,1,2,wood_planks
3,2,2,wood_planks
3,3,2,wood_planks
3,0,3,wood_planks
3,1,3,wood_planks
3,2,3,wood_planks
3,3,3,wood_planks
