layer,x,z,block_type
0,0,0,stone
0,1,0,stone
0,2,0,stone
0,3,0,stone
0,4,0,stone
0,0,1,stone
0,4,1,stone
0,0,2,stone
0,4,2,stone
0,0,3,stone
0,4,3,stone
0,0,4,stone
0,1,4,stone
0,2,4,stone
0,3,4,stone
0,4,4,stone
1,0,0,sandstone
1,1,0,sandstone
1,2,0,sandstone
1,3,0,sandstone
1,4,0,sandstone
1,0,1,sandstone
1,2,1,dirt
1,4,1,sandstone
1,0,2,sandstone
1,4,2,sandstone
1,0,3,sandstone
1,2,3,dirt
1,4,3,sandstone
1,0,4,sandstone
1,1,4,sandstone
1,2,4,sandstone
1,3,4,sandstone
1,4,4,sandstone
2,0,0,stone
2,1,0,stone
2,2,0,stone
2,3,0,stone
2,4,0,stone
2,0,1,stone
2,2,1,dirt
2,4,1,stone
2,0,2,stone
2,4,2,stone
2,0,3,stone
2,2,3,dirt
2,4,3,stone
2,0,4,stone
2,1,4,stone
2,2,4,stone
2,3,4,stone
2,4,4,stone
3,0,0,sandstone
3,1,0,sandstone
3,2,0,sandstone
3,3,0,sandstone
3,4,0,sandstone
3,0,1,sandstone
3,2,1,dirt
3,4,1,sandstone
3,0,2,sandstone
3,4,2,sandstone
3,0,3,sandstone
3,2,3,dirt
3,4,3,sandstone
3,0,4,sandstone
3,1,4,sandstone
3,2,4,sandstone
3,3,4,sandstone
3,4,4,sandstone
4,0,0,stone
4,1,0,stone
4,2,0,stone
4,3,0,stone
4,4,0,stone
4,0,1,stone
4,2,1,dirt
4,4,1,stone
4,0,2,stone
4,4,2,stone
4,0,3,stone
4,2,3,dirt
4,4,3,stone
4,0,4,stone
4,1,4,stone
4,2,4,stone
4,3,4,stone
4,4,4,stone
5,0,0,sandstone
5,1,0,sandstone
5,2,0,sandstone
5,3,0,sandstone
5,4,0,sandstone
5,0,1,sandstone
5,2,1,dirt
5,4,1,sandstone
5,0,2,sandstone
5,4,2,sandstone
5,0,3,sandstone
5,2,3,dirt
5,4,3,sandstone
5,0,4,sandstone
5,1,4,sandstone
5,2,4,sandstone
5,3,4,sandstone
5,4,4,sandstone
6,0,0,stone
6,1,0,stone
6,2,0,stone
6,3,0,stone
6,4,0,stone
6,0,1,stone
6,1,1,stone
6,2,1,stone
6,3,1,stone
6,4,1,stone
6,0,2,stone
6,1,2,stone
6,2,2,stone
6,3,2,stone
6,4,2,stone
6,0,3,stone
6,1,3,stone
6,2,3,stone
6,3,3,stone
6,4,3,stone
6,0,4,stone
6,1,4,stone
6,2,4,stone
6,3,4,stone
6,4,4,stone

